FMAP_INNB,VDPT_YR,PNU_LNM_CD,LGL_EMD_CD,LGL_EMD_NM,CHG_CFCD,CHG_CFNM,LNM,INTPR_CD,INTPR_NM,INVD_CFCD,INVD_CFNM,ITPINP_DE,RNHST_CD,RNHST_NM,MAPDMC_NO,ND_mean
"08391732","2020","4521032027102840001","45210320",죽산면,"02",변경,284-1답,"02",밭,"03",드론영상,"20201218",,,"35604093",4.24095400174459
"08346451","2020","4521032027102840001","45210320",죽산면,"02",변경,284-1답,"02",밭,"03",드론영상,"20201218",,,"35604093",2.46968245506287
"08391728","2020","4521032027102840001","45210320",죽산면,"02",변경,284-1답,"02",밭,"03",드론영상,"20201218","02",형상,"35604093",1.68396747112274
"08391715","2020","4521032027102820004","45210320",죽산면,"02",변경,282-4대,"02",밭,"03",드론영상,"20201218",,,"35604093",2.68345212936401
"08456117","2020","4521032027102810001","45210320",죽산면,"02",변경,281-1대,"02",밭,"03",드론영상,"20201218","02",형상,"35604093",1.99696497619152
"08390504","2020","4521032027102800008","45210320",죽산면,"02",변경,280-8대,"02",밭,"03",드론영상,"20201218","02",형상,"35604093",1.80089724063873
"08391675","2020","4521032027102790007","45210320",죽산면,"02",변경,279-7답,"02",밭,"03",드론영상,"20201218","02",형상,"35604093",1.20432023207347
"08391688","2020","4521032027102790007","45210320",죽산면,"02",변경,279-7답,"02",밭,"03",드론영상,"20201218","02",형상,"35604093",2.30888032913208
"08456119","2020","4521032027102790006","45210320",죽산면,"02",변경,279-6대,"02",밭,"03",드론영상,"20201218","02",형상,"35604093",3.14822284380595
"08388749","2020","4521032027102790005","45210320",죽산면,"02",변경,279-5답,"02",밭,"03",드론영상,"20201218","02",형상,"35604093",1.50998711295507
"12677629","2020","4521032027102590001","45210320",죽산면,"02",변경,259-1 대,"02",밭,"03",드론영상,"20201218","02",형상,"35604093",5.75745854119143
"12677630","2020","4521032027102590001","45210320",죽산면,"02",변경,259-1 대,"02",밭,"03",드론영상,"20201218","02",형상,"35604093",6.07625130913799
"08386652","2020","4521032027102560003","45210320",죽산면,"02",변경,256-3대,"02",밭,"03",드론영상,"20201218","02",형상,"35604093",11.7176227228982
"08386648","2020","4521032027102530002","45210320",죽산면,"02",변경,253-2대,"02",밭,"03",드론영상,"20201218",,,"35604093",2.39775037765503
"08388977","2020","4521032027102100002","45210320",죽산면,"02",변경,210-2대,"01",논,"03",드론영상,"20201218","03",속성,"35604093",4.41338841120402
"08386487","2020","4521032027102040001","45210320",죽산면,"02",변경,204-1대,"02",밭,"03",드론영상,"20201218",,,"35604093",3.88262856006622
"08386497","2020","4521032027102040001","45210320",죽산면,"02",변경,204-1대,"02",밭,"03",드론영상,"20201218",,,"35604093",4.32168467839559
"08386491","2020","4521032027102040001","45210320",죽산면,"02",변경,204-1대,"04",시설,"03",드론영상,"20201218",,,"35604093",5.27768921852112
"08386488","2020","4521032027102040001","45210320",죽산면,"02",변경,204-1대,"02",밭,"03",드론영상,"20201218",,,"35604093",
"08386492","2020","4521032027102040001","45210320",죽산면,"02",변경,204-1대,"04",시설,"03",드론영상,"20201218",,,"35604093",5.28342771530151
"08342794","2020","4521032027102030000","45210320",죽산면,"02",변경,203대,"04",시설,"03",드론영상,"20201218","02",형상,"35604093",1.37118709087372
"08386474","2020","4521032027101990000","45210320",죽산면,"02",변경,199대,"02",밭,"03",드론영상,"20201218",,,"35604093",4.16103506088257
"08388831","2020","4521032027101970042","45210320",죽산면,"01",유지,197-42 답,"01",논,"03",드론영상,"20201218",,,"35604093",10.8661558538113
